category	size	url	local_path
amiramesh	18130	https://downloads.openmicroscopy.org/images/AmiraMesh/ignacio/test.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/ignacio/test.am
amiramesh	10284	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_Check.tif	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_Check.tif
amiramesh	14579	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_CheckAmira.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_CheckAmira.am
amiramesh	11187	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_CheckMIB.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_CheckMIB.am
amiramesh	238265539	https://downloads.openmicroscopy.org/images/AmiraMesh/zenodo-18337391/Electron_tomogram.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/zenodo-18337391/Electron_tomogram.am
bdv	13279437715	https://downloads.openmicroscopy.org/images/BDV/idr0038/Lam-Cytok-MV-f0.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0038/Lam-Cytok-MV-f0.h5
bdv	2554	https://downloads.openmicroscopy.org/images/BDV/idr0038/Lam-Cytok-MV-f0.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0038/Lam-Cytok-MV-f0.xml
bdv	51049420472	https://downloads.openmicroscopy.org/images/BDV/idr0048/WB.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/WB.h5
bdv	2334	https://downloads.openmicroscopy.org/images/BDV/idr0048/WB.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/WB.xml
bdv	77879032035	https://downloads.openmicroscopy.org/images/BDV/idr0048/astroP65.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/astroP65.h5
bdv	2340	https://downloads.openmicroscopy.org/images/BDV/idr0048/astroP65.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/astroP65.xml
bdv	356633292	https://downloads.openmicroscopy.org/images/BDV/samples/HisYFP-SPIM.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/HisYFP-SPIM.h5
bdv	10444	https://downloads.openmicroscopy.org/images/BDV/samples/HisYFP-SPIM.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/HisYFP-SPIM.xml
bdv	620411552	https://downloads.openmicroscopy.org/images/BDV/samples/drosophila.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/drosophila.h5
bdv	2991	https://downloads.openmicroscopy.org/images/BDV/samples/drosophila.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/drosophila.xml
cellh5	67519830	https://downloads.openmicroscopy.org/images/CellH5/idr0013/00001_01.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/idr0013/00001_01.ch5
cellh5	341756246	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0013.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0013.ch5
cellh5	517275214	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0037.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0037.ch5
cellh5	606148334	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0038.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0038.ch5
cellh5	582178348	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0039.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0039.ch5
cellh5	700890109	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0040.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0040.ch5
cellh5	276432226	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0041.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0041.ch5
cellh5	386945770	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0042.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0042.ch5
cellh5	381252440	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0045.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0045.ch5
cellh5	423307989	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0046.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0046.ch5
cellh5	11805	https://downloads.openmicroscopy.org/images/CellH5/samples/full/_all_positions.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/_all_positions.ch5
cellh5	606148334	https://downloads.openmicroscopy.org/images/CellH5/samples/reduced/0038.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/reduced/0038.ch5
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f00d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f00d0.DIB
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f01d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f01d0.DIB
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f02d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f02d0.DIB
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f03d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f03d0.DIB
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f04d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f04d0.DIB
cellomics	524340	https://downloads.openmicroscopy.org/images/Cellomics/BBBC001/AS_09125_050118150001_A03f05d0.DIB	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC001/AS_09125_050118150001_A03f05d0.DIB
cellomics	2373120	https://downloads.openmicroscopy.org/images/Cellomics/BBBC017/BBBC017_v1_metadata.xls	external-fixtures/data/cellomics/downloads.openmicroscopy.org/BBBC017/BBBC017_v1_metadata.xls
