category	root_url	extensions	notes
amiramesh	https://downloads.openmicroscopy.org/images/AmiraMesh/	*	Auto-discovered public OME sample image category.
bdv	https://downloads.openmicroscopy.org/images/BDV/	*	Auto-discovered public OME sample image category.
cellh5	https://downloads.openmicroscopy.org/images/CellH5/	*	Auto-discovered public OME sample image category.
cellomics	https://downloads.openmicroscopy.org/images/Cellomics/	*	Auto-discovered public OME sample image category.
cellsens	https://downloads.openmicroscopy.org/images/CellSens/	*	Auto-discovered public OME sample image category.
cellworx	https://downloads.openmicroscopy.org/images/CellWorX/	*	Auto-discovered public OME sample image category.
cv7000	https://downloads.openmicroscopy.org/images/CV7000/	*	Auto-discovered public OME sample image category.
czi	https://downloads.openmicroscopy.org/images/Zeiss-CZI/	*	Auto-discovered public OME sample image category.
dcimg	https://downloads.openmicroscopy.org/images/DCIMG/	*	Auto-discovered public OME sample image category.
dicom	https://downloads.openmicroscopy.org/images/DICOM/	*	Auto-discovered public OME sample image category.
dv	https://downloads.openmicroscopy.org/images/DV/	*	Auto-discovered public OME sample image category.
ecat7	https://downloads.openmicroscopy.org/images/ECAT7/	*	Auto-discovered public OME sample image category.
flex	https://downloads.openmicroscopy.org/images/Flex/	*	Auto-discovered public OME sample image category.
gatan	https://downloads.openmicroscopy.org/images/Gatan/	*	Auto-discovered public OME sample image category.
gateway-tests	https://downloads.openmicroscopy.org/images/gateway_tests/	*	Auto-discovered public OME sample image category.
hamamatsu-ndpi	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/	*	Auto-discovered public OME sample image category.
hamamatsu-vms	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/	*	Auto-discovered public OME sample image category.
hcs	https://downloads.openmicroscopy.org/images/HCS/	*	Auto-discovered public OME sample image category.
ics	https://downloads.openmicroscopy.org/images/ICS/	*	Auto-discovered public OME sample image category.
imaris-ims	https://downloads.openmicroscopy.org/images/Imaris-IMS/	*	Auto-discovered public OME sample image category.
imspector	https://downloads.openmicroscopy.org/images/Imspector/	*	Auto-discovered public OME sample image category.
incell2000	https://downloads.openmicroscopy.org/images/InCell2000/	*	Auto-discovered public OME sample image category.
incell3000	https://downloads.openmicroscopy.org/images/InCell3000/	*	Auto-discovered public OME sample image category.
jdce	https://downloads.openmicroscopy.org/images/JDCE/	*	Auto-discovered public OME sample image category.
klb	https://downloads.openmicroscopy.org/images/KLB/	*	Auto-discovered public OME sample image category.
leica-lif	https://downloads.openmicroscopy.org/images/Leica-LIF/	*	Auto-discovered public OME sample image category.
leica-scn	https://downloads.openmicroscopy.org/images/Leica-SCN/	*	Auto-discovered public OME sample image category.
leica-xlef	https://downloads.openmicroscopy.org/images/Leica-XLEF/	*	Auto-discovered public OME sample image category.
leo	https://downloads.openmicroscopy.org/images/LEO/	*	Auto-discovered public OME sample image category.
metamorph	https://downloads.openmicroscopy.org/images/Metamorph/	*	Auto-discovered public OME sample image category.
metaxpress	https://downloads.openmicroscopy.org/images/MetaXpress/	*	Auto-discovered public OME sample image category.
micro-manager	https://downloads.openmicroscopy.org/images/Micro-Manager/	*	Auto-discovered public OME sample image category.
mrc	https://downloads.openmicroscopy.org/images/MRC/	*	Auto-discovered public OME sample image category.
nd2	https://downloads.openmicroscopy.org/images/ND2/	*	Auto-discovered public OME sample image category.
nifti	https://downloads.openmicroscopy.org/images/NIfTI/	*	Auto-discovered public OME sample image category.
nrrd	https://downloads.openmicroscopy.org/images/NRRD/	*	Auto-discovered public OME sample image category.
obf	https://downloads.openmicroscopy.org/images/OBF/	*	Auto-discovered public OME sample image category.
olympus-fluoview	https://downloads.openmicroscopy.org/images/Olympus-FluoView/	*	Auto-discovered public OME sample image category.
olympus-oir	https://downloads.openmicroscopy.org/images/Olympus-OIR/	*	Auto-discovered public OME sample image category.
ome-tiff	https://downloads.openmicroscopy.org/images/OME-TIFF/	*	Auto-discovered public OME sample image category.
ome-xml	https://downloads.openmicroscopy.org/images/OME-XML/	*	Auto-discovered public OME sample image category.
perkinelmer-columbus	https://downloads.openmicroscopy.org/images/PerkinElmer-Columbus/	*	Auto-discovered public OME sample image category.
perkinelmer-operetta	https://downloads.openmicroscopy.org/images/PerkinElmer-Operetta/	*	Auto-discovered public OME sample image category.
png	https://downloads.openmicroscopy.org/images/PNG/	*	Auto-discovered public OME sample image category.
scanr	https://downloads.openmicroscopy.org/images/ScanR/	*	Auto-discovered public OME sample image category.
sdt	https://downloads.openmicroscopy.org/images/SDT/	*	Auto-discovered public OME sample image category.
spc-fifo	https://downloads.openmicroscopy.org/images/SPC-FIFO/	*	Auto-discovered public OME sample image category.
svs	https://downloads.openmicroscopy.org/images/SVS/	*	Auto-discovered public OME sample image category.
tiff	https://downloads.openmicroscopy.org/images/TIFF/	*	Auto-discovered public OME sample image category.
trestle	https://downloads.openmicroscopy.org/images/Trestle/	*	Auto-discovered public OME sample image category.
u-track	https://downloads.openmicroscopy.org/images/u-track/	*	Auto-discovered public OME sample image category.
vectra-qptiff	https://downloads.openmicroscopy.org/images/Vectra-QPTIFF/	*	Auto-discovered public OME sample image category.
ventana	https://downloads.openmicroscopy.org/images/Ventana/	*	Auto-discovered public OME sample image category.
